segment,t0,t1,DN_km
1,2019-01-27 12:21:10+00:00,2019-01-27 12:30:31+00:00,2556.3354995928044
2,2019-01-27 12:30:51+00:00,2019-01-27 12:43:16+00:00,3401.575458103001
