t,B_L,B_M,B_N,Vn_i,Vn_e,Vn_he
2019-01-27 12:15:04.395,13.674279,-9.07576,-4.3505282,18.096977,36.320168,
2019-01-27 12:15:04.458,13.894168,-8.8544855,-4.310139,12.991373,-3.4179432,
2019-01-27 12:15:04.520,13.864264,-8.531186,-4.5459247,-15.151198,-24.92616,
2019-01-27 12:15:04.583,13.761202,-8.4614105,-4.6980157,-15.493393,4.1979556,
2019-01-27 12:15:04.645,13.609732,-8.413607,-4.764349,-18.891594,-12.537317,
2019-01-27 12:15:04.708,13.383924,-8.293169,-4.8230224,-23.027271,-27.255022,
2019-01-27 12:15:04.770,13.153479,-8.091069,-4.838799,-35.340755,-37.896812,
2019-01-27 12:15:04.833,12.851172,-7.895551,-4.7481227,-46.168915,-40.47364,
2019-01-27 12:15:04.895,12.563866,-7.836193,-4.7416363,-57.798897,-36.12199,
2019-01-27 12:15:04.958,12.318539,-7.614242,-4.417428,-63.70756,-53.09271,
2019-01-27 12:15:05.020,11.983781,-7.695796,-4.022807,-87.96384,-87.30849,
2019-01-27 12:15:05.083,11.745345,-7.90639,-3.9816375,-95.62234,-88.805214,
2019-01-27 12:15:05.145,11.63194,-8.057742,-4.1401467,-83.22474,-58.104465,
2019-01-27 12:15:05.208,11.694041,-8.262651,-4.213429,-64.86143,-79.80507,
2019-01-27 12:15:05.270,11.671166,-8.484887,-4.0878553,-88.46039,-96.838974,
2019-01-27 12:15:05.333,11.610228,-8.765669,-3.9496217,-100.044304,-92.046715,
2019-01-27 12:15:05.395,11.393024,-8.858226,-3.8868196,-69.85355,-36.198128,
2019-01-27 12:15:05.458,11.330519,-8.722486,-4.095964,-77.03155,-59.72379,
2019-01-27 12:15:05.520,11.453544,-8.619187,-4.33299,-97.1562,-110.21821,
2019-01-27 12:15:05.583,11.658652,-8.656777,-4.431165,-96.81108,-105.24667,
2019-01-27 12:15:05.645,11.960912,-8.781272,-4.528805,-90.05417,-72.42574,
2019-01-27 12:15:05.708,12.120368,-8.685396,-4.6416187,-62.350124,-24.86657,
2019-01-27 12:15:05.770,11.95191,-8.719239,-4.7218466,-54.9022,-55.593452,
2019-01-27 12:15:05.833,12.105736,-9.465372,-5.533057,-61.690067,-60.572,
2019-01-27 12:15:05.895,12.896886,-9.81761,-5.709349,-56.71544,-36.164997,
2019-01-27 12:15:05.958,12.959098,-9.598456,-5.375857,-45.433247,-19.557047,
2019-01-27 12:15:06.020,12.923982,-9.422922,-5.41955,-36.00143,-29.944513,
2019-01-27 12:15:06.083,13.001227,-9.519484,-5.344659,-44.389076,-41.726566,
2019-01-27 12:15:06.145,12.923919,-9.616309,-5.1239395,-41.42869,-24.872448,
2019-01-27 12:15:06.208,12.781639,-9.529589,-4.8083267,-25.514982,-1.1326067,
2019-01-27 12:15:06.270,12.748334,-9.399936,-4.6850696,-15.044192,18.413012,
2019-01-27 12:15:06.333,12.531464,-9.452671,-4.732361,-22.683578,-9.725858,
2019-01-27 12:15:06.395,12.792732,-9.687877,-4.663841,-39.32525,-33.355583,
2019-01-27 12:15:06.458,12.707264,-9.187939,-4.5001183,-25.909435,6.829263,
2019-01-27 12:15:06.520,12.3410635,-9.034039,-4.775028,-16.245438,5.5824175,
2019-01-27 12:15:06.583,12.244882,-9.537364,-5.0004277,-18.519535,-4.576302,
2019-01-27 12:15:06.645,11.488188,-9.582157,-5.6271443,-26.639164,-32.939194,
2019-01-27 12:15:06.708,10.777072,-9.114659,-5.985724,-23.956991,7.9866867,
2019-01-27 12:15:06.770,11.042172,-9.129743,-5.611629,-6.7886696,18.796654,
2019-01-27 12:15:06.833,11.560941,-9.424739,-5.2788415,4.447668,17.225586,
2019-01-27 12:15:06.895,11.72216,-9.307255,-4.7694697,-0.011656957,18.7823,
