t,B_L,B_M,B_N,Vn_i,Vn_e,Vn_he
2019-01-27 12:15:00.032,3.9719968,-3.9469082,-1.6154288,-38.710068,-33.212402,
2019-01-27 12:15:00.094,3.9107676,-3.8996172,-1.6113436,-29.7098,-51.929955,
2019-01-27 12:15:00.157,3.819767,-3.9170327,-1.6759098,-40.21009,-34.56174,
2019-01-27 12:15:00.219,3.7614846,-3.9767053,-1.7569827,-57.11014,-44.33109,
2019-01-27 12:15:00.282,3.7497725,-4.1066904,-1.8825825,-64.82415,-55.271114,
2019-01-27 12:15:00.344,3.7903402,-4.3156195,-1.9957136,-61.99825,-58.925865,
2019-01-27 12:15:00.407,3.8957672,-4.623094,-2.1299148,-60.96501,-61.005962,
2019-01-27 12:15:00.469,3.9956648,-4.967318,-2.2578933,-88.929184,-80.17417,
2019-01-27 12:15:00.532,4.0989456,-5.222118,-2.3693106,-103.91216,-91.52848,
2019-01-27 12:15:00.594,4.1808577,-5.3737307,-2.4422214,-100.74172,-94.397934,
2019-01-27 12:15:00.657,4.3081903,-5.5395737,-2.4873276,-95.04006,-97.53354,
2019-01-27 12:15:00.719,4.482149,-5.6437607,-2.539296,-113.48858,-107.53064,
2019-01-27 12:15:00.782,4.6031547,-5.623533,-2.6332366,-137.05878,-118.561195,
2019-01-27 12:15:00.844,4.711877,-5.6573873,-2.7862139,-107.70648,-103.55369,
2019-01-27 12:15:00.907,4.9397473,-5.7672467,-2.9753532,-94.986885,-111.69325,
2019-01-27 12:15:00.969,5.02002,-5.763376,-3.156059,-87.498184,-95.689354,
2019-01-27 12:15:01.032,4.7796655,-5.598098,-3.1907287,-84.821434,-86.2218,
2019-01-27 12:15:01.094,4.578789,-5.4822893,-3.1022956,-80.30096,-84.755554,
2019-01-27 12:15:01.157,4.391376,-5.3192744,-2.9446008,-89.41253,-78.91248,
2019-01-27 12:15:01.219,4.002246,-4.851737,-2.791722,-104.96361,-125.65637,
2019-01-27 12:15:01.282,3.6622658,-4.4391165,-2.391558,-118.84847,-107.07563,
2019-01-27 12:15:01.344,3.4032867,-4.383809,-1.8486983,-164.02127,-163.15941,
2019-01-27 12:15:01.407,3.1838045,-4.4216256,-1.7619607,-132.81421,-140.13239,
2019-01-27 12:15:01.469,3.1111097,-4.7749767,-1.8573642,-113.24643,-148.61403,
2019-01-27 12:15:01.532,3.0683079,-5.311009,-2.0440543,-76.860085,-64.98012,
2019-01-27 12:15:01.594,3.1207006,-5.910779,-2.1396818,-67.39358,-26.673426,
2019-01-27 12:15:01.657,2.8816128,-6.401166,-2.3942769,-52.388336,-53.851078,
2019-01-27 12:15:01.719,2.2890036,-6.3472733,-2.8571713,-37.071503,-62.259434,
2019-01-27 12:15:01.782,2.2943609,-6.200401,-2.9766834,-9.260233,1.6037104,
2019-01-27 12:15:01.844,2.6148815,-6.8881297,-3.1359043,-1.0738375,48.225754,
2019-01-27 12:15:01.907,2.4037259,-7.2693515,-3.7558067,8.249438,33.498264,
2019-01-27 12:15:01.969,2.277754,-7.4410353,-4.1663146,10.717396,2.0335772,
2019-01-27 12:15:02.032,2.3564012,-8.007305,-4.661797,13.517974,1.0217445,
2019-01-27 12:15:02.094,3.363815,-8.767734,-4.9812603,35.788136,60.201145,
2019-01-27 12:15:02.157,5.021713,-8.865871,-4.6954865,56.26113,91.473755,
2019-01-27 12:15:02.219,5.7725654,-8.7495365,-4.4269824,67.39806,78.90733,
2019-01-27 12:15:02.282,6.3703547,-8.74982,-4.3791285,83.23502,83.72236,
2019-01-27 12:15:02.344,7.083172,-9.002527,-4.497201,112.17281,104.59849,
2019-01-27 12:15:02.407,7.6001177,-9.20073,-4.805809,104.27455,130.10939,
2019-01-27 12:15:02.469,7.9249935,-9.1496315,-5.0239987,86.69659,97.053185,
2019-01-27 12:15:02.532,7.894233,-9.166986,-4.9685936,77.19989,97.09187,
2019-01-27 12:15:02.594,7.856381,-9.145465,-5.0613613,93.45432,77.1809,
2019-01-27 12:15:02.657,8.555237,-9.144794,-5.158702,31.577223,31.58862,
2019-01-27 12:15:02.719,8.9198065,-9.356815,-5.382926,-18.233889,34.95596,
2019-01-27 12:15:02.782,9.000197,-9.520998,-5.6237016,-34.687588,4.7044597,
2019-01-27 12:15:02.844,8.942082,-9.5361595,-5.811836,-15.08934,-24.53709,
2019-01-27 12:15:02.907,8.815971,-9.710597,-5.953904,7.988779,21.50146,
2019-01-27 12:15:02.969,8.754825,-9.760355,-5.946072,16.648905,37.231194,
2019-01-27 12:15:03.032,8.619977,-9.79462,-5.9645734,3.3219552,4.388954,
2019-01-27 12:15:03.094,8.62683,-10.204718,-6.2410226,19.920324,16.634737,
2019-01-27 12:15:03.157,8.559209,-10.492083,-6.462712,10.781873,-0.23557413,
2019-01-27 12:15:03.219,8.537159,-10.417424,-6.6060157,15.416971,22.701885,
2019-01-27 12:15:03.282,8.59878,-10.392111,-6.774068,21.807028,20.17681,
2019-01-27 12:15:03.344,8.587835,-10.323233,-6.943488,30.62441,20.419556,
2019-01-27 12:15:03.407,8.523256,-10.128427,-7.1206307,40.095573,26.860308,
2019-01-27 12:15:03.469,8.402312,-9.928973,-7.005716,54.49724,56.05062,
2019-01-27 12:15:03.532,8.126635,-9.73376,-6.862232,55.27645,57.289925,
2019-01-27 12:15:03.594,8.186572,-9.7279215,-6.878723,59.4224,55.584923,
2019-01-27 12:15:03.657,8.184276,-9.648998,-6.738957,68.998474,59.57763,
2019-01-27 12:15:03.719,8.120789,-9.554468,-6.614334,72.44688,66.68143,
2019-01-27 12:15:03.782,8.20528,-9.583738,-6.755156,39.409157,46.56271,
2019-01-27 12:15:03.844,8.322376,-9.5376005,-6.8030925,43.631477,46.799416,
2019-01-27 12:15:03.907,8.460418,-9.436681,-6.7264323,102.36626,99.54918,
2019-01-27 12:15:03.969,8.467659,-9.275288,-6.6706176,118.030396,106.011154,
2019-01-27 12:15:04.032,8.636708,-9.158194,-6.634136,58.215054,51.082947,
2019-01-27 12:15:04.094,8.895361,-9.027419,-6.632678,39.683544,42.28048,
2019-01-27 12:15:04.157,9.119737,-8.8091,-6.587741,50.00936,37.168865,
2019-01-27 12:15:04.219,9.377682,-8.63663,-6.6225085,50.086548,39.62871,
2019-01-27 12:15:04.282,9.563077,-8.469829,-6.7745805,35.424477,45.22245,
2019-01-27 12:15:04.344,9.712991,-8.41225,-6.8517113,18.81036,35.842846,
2019-01-27 12:15:04.407,9.54905,-8.430721,-6.679247,12.850584,8.216432,
2019-01-27 12:15:04.469,9.3077965,-8.3142185,-6.4770684,11.316697,-2.9471376,
2019-01-27 12:15:04.532,9.026404,-8.177554,-6.2482643,3.877955,4.3571243,
2019-01-27 12:15:04.594,8.8028145,-8.112526,-5.828992,-12.0534935,-11.8703165,
2019-01-27 12:15:04.657,8.427634,-7.939185,-5.6669693,-20.695574,-12.407195,
2019-01-27 12:15:04.719,8.203406,-7.782171,-5.4646616,-26.419685,-36.104176,
2019-01-27 12:15:04.782,8.232247,-7.822768,-5.2975307,-40.222637,-47.405807,
2019-01-27 12:15:04.844,8.279439,-7.793433,-5.2565136,-56.361065,-36.99482,
2019-01-27 12:15:04.907,8.249776,-7.6123195,-5.065762,-65.65619,-46.79428,
2019-01-27 12:15:04.969,8.022185,-7.622208,-5.0402956,-73.98987,-68.36147,
2019-01-27 12:15:05.032,7.89961,-7.734903,-5.1112943,-83.94247,-76.86024,
2019-01-27 12:15:05.094,7.8640566,-7.765124,-4.9359126,-85.283485,-140.26538,
2019-01-27 12:15:05.157,7.8848896,-7.760983,-4.923131,-75.005066,-79.271965,
2019-01-27 12:15:05.219,8.116142,-7.9297466,-4.9867535,-79.95088,-52.1105,
2019-01-27 12:15:05.282,8.1991415,-8.039622,-4.967365,-91.020966,-62.227924,
2019-01-27 12:15:05.344,8.144572,-8.014015,-5.034433,-88.44007,-62.78583,
2019-01-27 12:15:05.407,8.031986,-8.058416,-5.1704144,-107.7173,-75.03804,
2019-01-27 12:15:05.469,7.961016,-8.319905,-5.42798,-121.0743,-93.52509,
2019-01-27 12:15:05.532,7.971798,-8.650937,-5.5262704,-94.30314,-73.758514,
2019-01-27 12:15:05.594,8.056001,-8.888852,-5.214023,-87.773155,-91.269066,
2019-01-27 12:15:05.657,8.091973,-8.779756,-4.8378897,-71.44746,-54.529118,
2019-01-27 12:15:05.719,7.8043466,-8.450692,-4.7926817,-66.37502,-34.710033,
2019-01-27 12:15:05.782,7.2654867,-8.604762,-4.771065,-56.82263,-49.05197,
2019-01-27 12:15:05.844,6.280051,-8.862844,-4.776408,-63.439674,-75.66058,
2019-01-27 12:15:05.907,5.606927,-8.961155,-4.9310164,-58.852253,-34.918236,
2019-01-27 12:15:05.969,5.2443047,-9.29788,-5.3715467,-54.297596,-13.197926,
2019-01-27 12:15:06.032,5.060292,-9.702602,-5.4093313,-46.78195,-58.298923,
2019-01-27 12:15:06.094,4.889378,-9.911022,-5.0715733,-42.665344,-45.05623,
2019-01-27 12:15:06.157,4.6290545,-9.788242,-4.891714,-37.41812,-33.27545,
2019-01-27 12:15:06.219,4.4076695,-9.591139,-4.8319807,-29.12274,4.042834,
2019-01-27 12:15:06.282,4.1793904,-9.537719,-4.861055,-27.92031,-7.641966,
2019-01-27 12:15:06.344,3.6801994,-9.511214,-4.862424,-20.694723,-0.75997907,
2019-01-27 12:15:06.407,3.4102402,-9.942245,-4.8748865,-21.05625,-27.133636,
