t,B_L,B_M,B_N,Vn_i,Vn_e,Vn_he
2019-01-27 12:15:00.057,3.4013667,-2.266733,-2.5319686,-30.322771,,
2019-01-27 12:15:00.119,3.684397,-2.0921047,-3.3841918,-33.69897,,
2019-01-27 12:15:00.182,3.9904766,-2.0038743,-3.828936,-39.438145,,
2019-01-27 12:15:00.244,4.6219306,-2.111067,-4.018901,-39.893185,,
2019-01-27 12:15:00.307,5.424938,-2.300034,-4.913138,-52.202156,,
2019-01-27 12:15:00.369,5.822954,-2.4146535,-5.1906075,-71.23873,,
2019-01-27 12:15:00.432,5.5628433,-2.4554005,-4.50522,-73.53291,,
2019-01-27 12:15:00.494,5.031772,-2.602788,-3.6337261,-58.87126,,
2019-01-27 12:15:00.557,4.8680754,-2.9374313,-3.4877193,-68.87767,,
2019-01-27 12:15:00.619,6.2084184,-3.9447525,-4.121251,-85.21404,,
2019-01-27 12:15:00.682,8.132147,-4.8830843,-5.529169,-108.16762,,
2019-01-27 12:15:00.744,8.826431,-5.1622233,-6.3869004,-107.74918,,
2019-01-27 12:15:00.807,8.699001,-5.1706076,-6.830539,-123.03473,,
2019-01-27 12:15:00.869,8.736136,-5.178863,-6.9991126,-112.86905,,
2019-01-27 12:15:00.932,9.332043,-5.612518,-7.1554837,-95.92018,,
2019-01-27 12:15:00.994,10.315795,-6.2516727,-7.415578,-84.98598,,
2019-01-27 12:15:01.057,11.031449,-6.7018204,-7.777069,-79.67093,,
2019-01-27 12:15:01.119,11.500925,-7.006184,-8.35336,-84.97165,,
2019-01-27 12:15:01.182,12.1689625,-7.6550765,-9.083304,-89.16645,,
2019-01-27 12:15:01.244,12.751424,-8.363377,-9.409967,-103.39954,,
2019-01-27 12:15:01.307,12.859066,-8.351287,-8.804664,-101.75549,,
2019-01-27 12:15:01.369,12.973123,-8.253118,-7.9317007,-131.70708,,
2019-01-27 12:15:01.432,13.212789,-8.234479,-7.5265465,-128.85495,,
2019-01-27 12:15:01.494,13.208917,-8.263242,-7.396945,-132.71179,,
2019-01-27 12:15:01.557,13.099838,-8.281915,-7.3108616,-105.5714,,
2019-01-27 12:15:01.619,13.155651,-8.576122,-7.0240064,-61.30539,,
2019-01-27 12:15:01.682,13.368352,-8.797557,-7.0701237,-53.3339,,
2019-01-27 12:15:01.744,13.458189,-8.928869,-7.05564,-43.30484,,
2019-01-27 12:15:01.807,13.305465,-9.028825,-6.8199267,-17.06056,,
2019-01-27 12:15:01.869,13.0945835,-9.150422,-6.4810634,-0.30989134,,
2019-01-27 12:15:01.932,13.06697,-9.402767,-5.902623,9.328682,,
2019-01-27 12:15:01.994,13.260767,-9.521228,-5.578271,7.0872397,,
2019-01-27 12:15:02.057,13.344856,-9.555341,-5.4017615,18.156145,-46.15265974006492,
2019-01-27 12:15:02.119,13.515424,-9.948464,-4.880295,38.04912,-45.95574745242953,
2019-01-27 12:15:02.182,13.654641,-10.042212,-4.7719812,67.43941,-45.758835164794135,
2019-01-27 12:15:02.244,14.16242,-10.347628,-4.982215,83.87967,-45.56192287715874,
2019-01-27 12:15:02.307,14.731506,-10.515388,-5.5819054,98.621086,-45.36501058952334,
2019-01-27 12:15:02.369,14.988466,-10.496039,-6.0590067,110.13114,-45.168098301887945,
2019-01-27 12:15:02.432,15.0769205,-10.597208,-6.533839,96.28157,-44.97118601425255,
2019-01-27 12:15:02.494,15.065913,-10.551607,-6.897191,72.33762,-44.77427372661716,
2019-01-27 12:15:02.557,14.993661,-10.583221,-6.9522862,53.19149,-44.57736143898177,
2019-01-27 12:15:02.619,14.951791,-10.484138,-6.8454456,-44.472824,-44.380449151346376,
2019-01-27 12:15:02.682,15.009925,-10.440174,-6.7094674,-33.48514,-44.18353686371098,
2019-01-27 12:15:02.744,15.076605,-10.363532,-6.406547,-24.958284,-37.941674536463076,
2019-01-27 12:15:02.807,14.995611,-10.269192,-6.140484,-23.142282,-37.96947751695471,
2019-01-27 12:15:02.869,14.95152,-10.158582,-5.872278,-11.517664,-37.99728049744633,
2019-01-27 12:15:02.932,14.807666,-10.008142,-5.5099845,11.576192,-38.02508347793797,
2019-01-27 12:15:02.994,14.325688,-9.979614,-5.489215,26.90508,-38.052886458429604,
2019-01-27 12:15:03.057,14.166591,-10.067404,-5.523432,11.871212,-38.08068943892123,
2019-01-27 12:15:03.119,14.245576,-10.245162,-5.64312,13.9599,-38.10849241941287,
2019-01-27 12:15:03.182,14.276017,-10.205121,-5.782786,15.546632,-38.1362953999045,
2019-01-27 12:15:03.244,14.395836,-9.832415,-5.694267,25.082651,-38.16409838039612,
2019-01-27 12:15:03.307,14.228216,-9.1908455,-5.5455685,34.950035,-38.19190136088776,
2019-01-27 12:15:03.369,13.750278,-9.018998,-5.7481823,47.30436,-38.21970434137939,
2019-01-27 12:15:03.432,13.574822,-8.829622,-6.0509586,54.544174,-38.24750732187102,
2019-01-27 12:15:03.494,13.54249,-8.899974,-6.247296,62.33885,-38.275310302362655,
2019-01-27 12:15:03.557,13.670962,-9.013606,-6.195103,66.11468,-38.30311328285428,
2019-01-27 12:15:03.619,13.918371,-8.954557,-6.3007026,76.04103,-38.33091626334592,
2019-01-27 12:15:03.682,14.016599,-9.127619,-6.5092196,88.97123,-38.35871912995812,
2019-01-27 12:15:03.744,13.99906,-9.250411,-6.465375,38.3035,-38.386522110449754,
2019-01-27 12:15:03.807,14.189487,-9.303139,-6.4154587,53.790462,-38.414325090941375,
2019-01-27 12:15:03.869,14.248063,-9.393814,-6.424838,72.35617,-38.442128071433004,
2019-01-27 12:15:03.932,14.126878,-9.484134,-6.434992,115.53018,-38.46993105192464,
2019-01-27 12:15:03.994,13.95294,-9.453859,-6.4470253,122.64781,-38.49773403241627,
2019-01-27 12:15:04.057,13.92863,-9.451766,-6.5036407,91.12839,-38.525537012907904,
2019-01-27 12:15:04.119,13.628851,-9.232452,-6.6082525,67.75174,-38.55333999339953,
2019-01-27 12:15:04.182,13.104822,-8.849914,-5.4999294,58.28526,-31.797391699556155,
2019-01-27 12:15:04.244,12.629379,-8.660207,-4.629246,54.2071,-31.87265073521218,
2019-01-27 12:15:04.307,12.314495,-8.653575,-4.5093575,43.46027,-31.947909770868193,
2019-01-27 12:15:04.369,12.224187,-8.6568575,-4.3740115,36.103577,-32.023168806524225,
2019-01-27 12:15:04.432,11.922094,-8.695552,-4.1848774,14.446961,-32.09842784218024,
2019-01-27 12:15:04.494,11.551769,-8.701878,-4.2011924,5.675112,-32.17368687783625,
2019-01-27 12:15:04.557,11.168122,-8.724133,-4.169817,-1.4095016,-32.24894560523553,
2019-01-27 12:15:04.619,10.657243,-9.072349,-4.2664456,5.436801,-32.324204640891544,
2019-01-27 12:15:04.682,10.434651,-9.287992,-4.563218,-5.1384454,-32.39946367654756,
2019-01-27 12:15:04.744,10.41625,-9.198463,-4.567369,-17.379206,-32.47472271220358,
2019-01-27 12:15:04.807,10.103171,-9.419649,-4.608474,-38.34456,-32.5499817478596,
2019-01-27 12:15:04.869,10.043431,-9.8129635,-4.4626164,-47.635372,-32.625240783515615,
2019-01-27 12:15:04.932,9.433872,-9.994612,-4.1961107,-51.217117,-32.70049981917164,
2019-01-27 12:15:04.994,9.011876,-9.992607,-4.0835996,-63.936268,-32.77575885482766,
2019-01-27 12:15:05.057,8.73825,-9.972546,-4.0351486,-89.19731,-32.851017890483675,
2019-01-27 12:15:05.119,8.266232,-9.802277,-3.8785355,-89.73653,-32.9262769261397,
