t,B_L,B_M,B_N,Vn_i,Vn_e,Vn_he
2019-01-27 12:15:00.000,-1.740765,-3.4839642,1.3000134,-34.449978,-49.109226,
2019-01-27 12:15:00.062,-2.0530179,-3.5941415,0.5680024,-35.169724,-35.44439,
2019-01-27 12:15:00.125,-2.2417471,-3.5824702,-0.16305032,-42.87044,-33.912296,
2019-01-27 12:15:00.187,-2.043428,-3.5609334,-0.889412,-52.799427,-39.263435,
2019-01-27 12:15:00.250,-1.3320836,-3.6640635,-1.6925458,-60.31226,-73.451996,
2019-01-27 12:15:00.312,-0.6817919,-3.7369478,-2.3046513,-68.58781,-65.1698,
2019-01-27 12:15:00.375,-0.3154121,-3.8219924,-2.6527443,-68.81133,-54.4006,
2019-01-27 12:15:00.437,-0.06692736,-3.891563,-2.7457218,-71.2925,-58.40173,
2019-01-27 12:15:00.500,0.0505022,-3.9672031,-2.8357794,-86.06834,-81.19833,
2019-01-27 12:15:00.562,0.11590859,-3.8649638,-3.1114798,-95.82772,-103.19717,
2019-01-27 12:15:00.625,0.2849895,-3.6881402,-3.442116,-102.648605,-94.47004,
2019-01-27 12:15:00.687,0.45834747,-3.663747,-3.8585274,-105.55194,-91.29794,
2019-01-27 12:15:00.750,0.71152395,-3.4928367,-4.155599,-133.72577,-127.84408,
2019-01-27 12:15:00.812,1.6134125,-2.6662273,-2.8992875,-118.49772,-132.31136,
2019-01-27 12:15:00.875,2.0518787,-1.7100508,-1.6181409,-92.29983,-110.57738,
2019-01-27 12:15:00.937,1.9167312,-1.0684463,-1.2364821,-80.95966,-92.455605,
2019-01-27 12:15:01.000,2.3038526,-1.2251338,-1.0056556,-89.97241,-87.493706,
2019-01-27 12:15:01.062,2.936387,-1.8438901,-1.0730609,-89.420044,-100.70836,
2019-01-27 12:15:01.125,3.0853474,-2.2882295,-1.407243,-88.05321,-86.03389,
2019-01-27 12:15:01.187,3.1578636,-2.5300336,-1.7919179,-97.98374,-86.32967,
2019-01-27 12:15:01.250,3.3015819,-2.8945148,-2.1416152,-110.70505,-121.11174,
2019-01-27 12:15:01.312,3.1007435,-2.9916923,-2.839213,-143.2161,-162.71727,
2019-01-27 12:15:01.375,3.4202793,-2.73646,-3.550611,-136.42525,-150.14821,
2019-01-27 12:15:01.437,3.563023,-2.7237427,-4.3364706,-135.54779,-158.3458,
2019-01-27 12:15:01.500,3.618886,-2.7172654,-4.3519015,-83.17397,-87.492615,
2019-01-27 12:15:01.562,3.8478975,-2.797554,-4.4920735,-63.074272,-58.851154,
2019-01-27 12:15:01.625,4.537501,-3.5156395,-5.132874,-54.398167,-58.591515,
2019-01-27 12:15:01.687,5.644562,-4.7886477,-6.096942,-40.10701,-49.89937,
2019-01-27 12:15:01.750,6.379957,-5.8756695,-6.387247,-10.761891,-18.628649,
2019-01-27 12:15:01.812,6.611896,-6.8583407,-5.969676,-0.86864,18.496223,
2019-01-27 12:15:01.875,6.753571,-7.3742304,-5.9871564,9.019192,25.615532,
2019-01-27 12:15:01.937,6.6567216,-7.365733,-6.222182,10.005806,14.214614,
2019-01-27 12:15:02.000,6.745785,-7.3798566,-6.2939477,14.212363,21.86462,
2019-01-27 12:15:02.062,7.347721,-7.7530413,-6.479691,28.807104,57.04471,
2019-01-27 12:15:02.125,7.8554564,-7.8564467,-6.4768147,58.567398,62.632797,
2019-01-27 12:15:02.187,7.8840766,-7.54379,-5.865846,74.75202,88.29791,
2019-01-27 12:15:02.250,7.882813,-7.658502,-5.4598103,108.653534,163.52328,
2019-01-27 12:15:02.312,7.703244,-7.6467624,-5.1465974,113.01254,157.15486,
2019-01-27 12:15:02.375,7.346807,-7.5451584,-5.13397,85.703575,73.18467,
2019-01-27 12:15:02.437,7.3728714,-7.8175945,-5.122768,62.854427,61.206646,
2019-01-27 12:15:02.500,7.322107,-7.870197,-5.177262,70.13192,99.58061,
2019-01-27 12:15:02.562,7.3621874,-7.5702276,-5.133619,37.530228,87.498955,
2019-01-27 12:15:02.625,7.6346126,-7.49175,-4.762563,-59.88774,1.0244185,
2019-01-27 12:15:02.687,7.877005,-7.5726466,-4.6895747,-52.307983,-33.18252,
2019-01-27 12:15:02.750,7.7947125,-7.310471,-4.4510736,-26.107449,-28.5197,
2019-01-27 12:15:02.812,7.1301827,-7.27824,-4.8938093,-10.639849,-4.818883,
2019-01-27 12:15:02.875,6.8205967,-7.166448,-5.68442,11.409957,23.307367,
2019-01-27 12:15:02.937,6.9028234,-6.848005,-5.9588537,22.027046,27.527544,
2019-01-27 12:15:03.000,7.2788424,-6.7921834,-6.2206364,3.3699255,-15.0734,
2019-01-27 12:15:03.062,7.3820286,-6.469756,-6.8749967,14.716476,11.495192,
2019-01-27 12:15:03.125,7.3813076,-6.5614257,-6.7163844,11.813672,13.778769,
2019-01-27 12:15:03.187,7.106668,-6.6963468,-5.826074,16.95373,26.601503,
2019-01-27 12:15:03.250,6.9307566,-6.829499,-4.9563713,24.202261,3.4936159,
2019-01-27 12:15:03.312,6.6815023,-7.0625353,-4.284209,45.22127,21.50265,
2019-01-27 12:15:03.375,6.437466,-7.2565875,-3.837623,44.871994,54.81185,
2019-01-27 12:15:03.437,6.3694644,-7.532778,-3.6272016,61.427147,68.81716,
2019-01-27 12:15:03.500,6.062263,-7.8447695,-3.481956,57.073727,54.103138,
2019-01-27 12:15:03.562,5.653644,-8.153088,-3.2015648,61.809494,48.31309,
2019-01-27 12:15:03.625,5.33331,-7.9381795,-3.116747,85.609215,80.39763,
2019-01-27 12:15:03.687,5.0374155,-7.4994497,-3.241142,52.71286,73.424385,
2019-01-27 12:15:03.750,4.974736,-7.085738,-3.4416585,43.343567,35.365726,
2019-01-27 12:15:03.812,5.406839,-6.786136,-3.5451818,59.10423,44.892048,
2019-01-27 12:15:03.875,5.826645,-6.8397536,-3.6815703,109.62009,107.25894,
2019-01-27 12:15:03.937,5.9200983,-7.0115137,-3.9063828,122.89868,133.8186,
2019-01-27 12:15:04.000,6.1844406,-6.828601,-4.056153,80.14503,77.21467,
2019-01-27 12:15:04.062,6.4413514,-6.5147185,-4.135103,54.499084,35.749016,
2019-01-27 12:15:04.125,6.541905,-6.2321534,-4.2381372,51.265438,44.06147,
2019-01-27 12:15:04.187,6.711471,-6.0702176,-4.191113,50.516403,49.83879,
2019-01-27 12:15:04.250,7.3292794,-5.8212686,-4.152549,42.52437,23.128395,
2019-01-27 12:15:04.312,7.890254,-5.859135,-4.50353,22.514648,21.494623,
2019-01-27 12:15:04.375,8.127738,-5.9686556,-4.6512885,11.107143,12.821802,
2019-01-27 12:15:04.437,8.665515,-5.7583165,-4.3261657,9.909557,9.6849165,
