time_utc,ViN_sav,ViN_mmsmp,dt_ms
2019-01-27 11:00:04.140590906+00:00,10.829935542221081,10.829935542221081,0.0
2019-01-27 11:00:08.640627861+00:00,14.125140774817522,14.125140774817522,0.0
2019-01-27 11:00:13.140674114+00:00,-6.617976503737305,-6.617976503737305,0.0
2019-01-27 11:00:17.640709877+00:00,-20.607647582545937,-20.607647582545937,0.0
2019-01-27 11:00:22.140754938+00:00,-32.72551742510666,-32.72551742510666,0.0
2019-01-27 11:00:26.640791893+00:00,-12.871642026626455,-12.871642026626455,0.0
2019-01-27 11:00:31.140838146+00:00,-10.399636770706215,-10.399636770706215,0.0
2019-01-27 11:00:35.640873909+00:00,-22.753634302742242,-22.753634302742242,0.0
2019-01-27 11:00:40.140920162+00:00,-36.89463671568474,-36.89463671568474,0.0
2019-01-27 11:00:44.640955925+00:00,-38.553372802371314,-38.553372802371314,0.0
2019-01-27 11:00:49.141001940+00:00,-34.384545991760874,-34.384545991760874,0.0
2019-01-27 11:00:53.641038895+00:00,-70.97417191885422,-70.97417191885422,0.0
2019-01-27 11:00:58.141084194+00:00,-61.39248703231509,-61.39248703231509,0.0
2019-01-27 11:01:02.641121864+00:00,-54.83709012859792,-54.83709012859792,0.0
2019-01-27 11:01:07.141166925+00:00,-93.38312197917021,-93.38312197917021,0.0
2019-01-27 11:01:11.641202927+00:00,-117.2698019171759,-117.2698019171759,0.0
2019-01-27 11:01:16.141249180+00:00,-115.26175550298807,-115.26175550298807,0.0
2019-01-27 11:01:20.641285896+00:00,-118.14004816395796,-118.14004816395796,0.0
2019-01-27 11:01:25.141331911+00:00,-140.68561710323047,-140.68561710323047,0.0
2019-01-27 11:01:29.641367912+00:00,-85.89820298488293,-85.89820298488293,0.0
2019-01-27 11:01:34.141414165+00:00,-57.0615084605367,-57.0615084605367,0.0
2019-01-27 11:01:38.641449928+00:00,-118.31651512198926,-118.31651512198926,0.0
2019-01-27 11:01:43.141496181+00:00,-108.39899434950969,-108.39899434950969,0.0
2019-01-27 11:01:47.641532898+00:00,-90.60428806336995,-90.60428806336995,0.0
2019-01-27 11:01:52.141577959+00:00,-88.81277925647403,-88.81277925647403,0.0
2019-01-27 11:01:56.641613960+00:00,-93.26712899921996,-93.26712899921996,0.0
2019-01-27 11:02:01.141661167+00:00,-157.47923125101403,-157.47923125101403,0.0
2019-01-27 11:02:05.641696930+00:00,-151.45230098882263,-151.45230098882263,0.0
2019-01-27 11:02:10.141741991+00:00,-159.2833682518339,-159.2833682518339,0.0
2019-01-27 11:02:14.641778946+00:00,-136.927215307237,-136.927215307237,0.0
2019-01-27 11:02:19.141824961+00:00,-103.88829154400622,-103.88829154400622,0.0
2019-01-27 11:02:23.641860962+00:00,-61.957066960134476,-61.957066960134476,0.0
2019-01-27 11:02:28.141906977+00:00,-52.46860497766421,-52.46860497766421,0.0
2019-01-27 11:02:32.641942978+00:00,-68.20034570622413,-68.20034570622413,0.0
2019-01-27 11:02:37.141988993+00:00,-48.730994083119924,-48.730994083119924,0.0
2019-01-27 11:02:41.642025948+00:00,-46.58871328582762,-46.58871328582762,0.0
2019-01-27 11:02:46.142071009+00:00,-50.60346715588389,-50.60346715588389,0.0
2019-01-27 11:02:50.642107964+00:00,-72.41763987323436,-72.41763987323436,0.0
2019-01-27 11:02:55.142152786+00:00,-75.18895100924281,-75.18895100924281,0.0
2019-01-27 11:02:59.642190933+00:00,-105.26044438222739,-105.26044438222739,0.0
2019-01-27 11:03:04.142235994+00:00,-120.14639462880952,-120.14639462880952,0.0
2019-01-27 11:03:08.642271996+00:00,-120.65950178728478,-120.65950178728478,0.0
2019-01-27 11:03:13.142317772+00:00,-81.76109507330331,-81.76109507330331,0.0
2019-01-27 11:03:17.642354012+00:00,-47.97360940848812,-47.97360940848812,0.0
2019-01-27 11:03:22.142400026+00:00,-21.183093701322115,-21.183093701322115,0.0
2019-01-27 11:03:26.642436981+00:00,-26.169394877105105,-26.169394877105105,0.0
2019-01-27 11:03:31.142464161+00:00,-35.12584610398805,-35.12584610398805,0.0
2019-01-27 11:03:35.642518997+00:00,-37.078928340116256,-37.078928340116256,0.0
2019-01-27 11:03:40.142565012+00:00,-31.272863011026644,-31.272863011026644,0.0
2019-01-27 11:03:44.642601967+00:00,-38.91966113328857,-38.91966113328857,0.0
2019-01-27 11:03:49.142647028+00:00,-58.72421843278417,-58.72421843278417,0.0
2019-01-27 11:03:53.642683983+00:00,-47.522552289300975,-47.522552289300975,0.0
2019-01-27 11:03:58.142729998+00:00,-37.99927831897208,-37.99927831897208,0.0
2019-01-27 11:04:02.642765999+00:00,-26.304522657148862,-26.304522657148862,0.0
2019-01-27 11:04:07.142812014+00:00,-18.87962929070457,-18.87962929070457,0.0
2019-01-27 11:04:11.642848015+00:00,-16.628047841694666,-16.628047841694666,0.0
2019-01-27 11:04:16.142893076+00:00,-10.317405350634857,-10.317405350634857,0.0
2019-01-27 11:04:20.642930984+00:00,1.168574574765426,1.168574574765426,0.0
2019-01-27 11:04:25.142975807+00:00,-10.674939883004328,-10.674939883004328,0.0
2019-01-27 11:04:29.643013+00:00,-54.27204017675289,-54.27204017675289,0.0
2019-01-27 11:04:34.143058062+00:00,-51.463845426117246,-51.463845426117246,0.0
2019-01-27 11:04:38.643095016+00:00,-60.28430471870816,-60.28430471870816,0.0
2019-01-27 11:04:43.143141031+00:00,-50.71950406940177,-50.71950406940177,0.0
2019-01-27 11:04:47.643177032+00:00,-60.87453442373797,-60.87453442373797,0.0
2019-01-27 11:04:52.143223047+00:00,-68.83925101928585,-68.83925101928585,0.0
2019-01-27 11:04:56.643260002+00:00,-70.75802288073496,-70.75802288073496,0.0
2019-01-27 11:05:01.143304825+00:00,-67.10799094941918,-67.10799094941918,0.0
2019-01-27 11:05:05.643342018+00:00,-55.33828176046209,-55.33828176046209,0.0
2019-01-27 11:05:10.143386841+00:00,-51.95686505322543,-51.95686505322543,0.0
2019-01-27 11:05:14.643424034+00:00,-43.74686093953569,-43.74686093953569,0.0
2019-01-27 11:05:19.143469810+00:00,-42.67918643611894,-42.67918643611894,0.0
2019-01-27 11:05:23.643507004+00:00,-32.64397535787007,-32.64397535787007,0.0
2019-01-27 11:05:28.143551826+00:00,-32.683477511513004,-32.683477511513004,0.0
2019-01-27 11:05:32.643588066+00:00,-45.987167747452425,-45.987167747452425,0.0
2019-01-27 11:05:37.143634081+00:00,-65.96001726875481,-65.96001726875481,0.0
2019-01-27 11:05:41.643670082+00:00,-55.22434774637821,-55.22434774637821,0.0
2019-01-27 11:05:46.143716812+00:00,-45.34047784523425,-45.34047784523425,0.0
2019-01-27 11:05:50.643753052+00:00,-65.4269253325901,-65.4269253325901,0.0
2019-01-27 11:05:55.143799067+00:00,-73.79032058530464,-73.79032058530464,0.0
2019-01-27 11:05:59.643836021+00:00,-73.60364247121503,-73.60364247121503,0.0
2019-01-27 11:06:04.143880844+00:00,-65.83844332626805,-65.83844332626805,0.0
2019-01-27 11:06:08.643918037+00:00,-75.0732696505921,-75.0732696505921,0.0
2019-01-27 11:06:13.143962860+00:00,-90.62242424777207,-90.62242424777207,0.0
2019-01-27 11:06:17.644000053+00:00,-99.93063966090462,-99.93063966090462,0.0
2019-01-27 11:06:22.144044876+00:00,-100.76533933646685,-100.76533933646685,0.0
2019-01-27 11:06:26.644082069+00:00,-99.87999875874083,-99.87999875874083,0.0
2019-01-27 11:06:31.144127846+00:00,-100.83615282533741,-100.83615282533741,0.0
2019-01-27 11:06:35.644164085+00:00,-117.8101565877933,-117.8101565877933,0.0
2019-01-27 11:06:40.144209862+00:00,-133.1592116461188,-133.1592116461188,0.0
2019-01-27 11:06:44.644247055+00:00,-120.39762706810765,-120.39762706810765,0.0
2019-01-27 11:06:49.144291878+00:00,-91.47831599278007,-91.47831599278007,0.0
2019-01-27 11:06:53.644329071+00:00,-139.88131468890379,-139.88131468890379,0.0
2019-01-27 11:06:58.144374847+00:00,-163.3606820615133,-163.3606820615133,0.0
2019-01-27 11:07:02.644411087+00:00,-126.36320792987193,-126.36320792987193,0.0
2019-01-27 11:07:07.144455910+00:00,-99.14604845870834,-99.14604845870834,0.0
2019-01-27 11:07:11.644493103+00:00,-85.62025790901669,-85.62025790901669,0.0
2019-01-27 11:07:16.144538879+00:00,-111.50034014958176,-111.50034014958176,0.0
2019-01-27 11:07:20.644576073+00:00,-113.77872720678022,-113.77872720678022,0.0
2019-01-27 11:07:25.144620895+00:00,-132.44924264264404,-132.44924264264404,0.0
2019-01-27 11:07:29.644658089+00:00,-112.19871124880567,-112.19871124880567,0.0
2019-01-27 11:07:34.144702911+00:00,-99.61661578740816,-99.61661578740816,0.0
2019-01-27 11:07:38.644740105+00:00,-65.28547715965249,-65.28547715965249,0.0
2019-01-27 11:07:43.144785881+00:00,-37.61202572527332,-37.61202572527332,0.0
2019-01-27 11:07:47.644822121+00:00,-64.08870533937228,-64.08870533937228,0.0
2019-01-27 11:07:52.144867897+00:00,-57.20615757127333,-57.20615757127333,0.0
2019-01-27 11:07:56.644905090+00:00,-50.76290712863822,-50.76290712863822,0.0
2019-01-27 11:08:01.144950867+00:00,-59.69232886980846,-59.69232886980846,0.0
2019-01-27 11:08:05.644987106+00:00,-77.57108404801623,-77.57108404801623,0.0
2019-01-27 11:08:10.145032883+00:00,-58.26549322579887,-58.26549322579887,0.0
2019-01-27 11:08:14.645069122+00:00,-56.82935398033483,-56.82935398033483,0.0
2019-01-27 11:08:19.145114899+00:00,-64.9790688418489,-64.9790688418489,0.0
2019-01-27 11:08:23.645151138+00:00,-82.38716703391052,-82.38716703391052,0.0
2019-01-27 11:08:28.145197868+00:00,-99.28280104815103,-99.28280104815103,0.0
2019-01-27 11:08:32.645234108+00:00,-109.92706365056745,-109.92706365056745,0.0
2019-01-27 11:08:37.145279884+00:00,-105.04886615693731,-105.04886615693731,0.0
2019-01-27 11:08:41.645316124+00:00,-64.4052050378091,-64.4052050378091,0.0
2019-01-27 11:08:46.145360947+00:00,-84.85891873989573,-84.85891873989573,0.0
2019-01-27 11:08:50.645398140+00:00,-86.277243635611,-86.277243635611,0.0
2019-01-27 11:08:55.145443916+00:00,-93.79935962410714,-93.79935962410714,0.0
2019-01-27 11:08:59.645481110+00:00,-97.70657061064352,-97.70657061064352,0.0
2019-01-27 11:09:04.145525932+00:00,-98.87668187699735,-98.87668187699735,0.0
2019-01-27 11:09:08.645563126+00:00,-133.25239036778677,-133.25239036778677,0.0
2019-01-27 11:09:13.145608902+00:00,-116.23121772282244,-116.23121772282244,0.0
2019-01-27 11:09:17.645645142+00:00,-59.10188446872667,-59.10188446872667,0.0
2019-01-27 11:09:22.145690918+00:00,-49.60986461401766,-49.60986461401766,0.0
2019-01-27 11:09:26.645728111+00:00,-76.3458087459278,-76.3458087459278,0.0
2019-01-27 11:09:31.145772934+00:00,-86.24071247746745,-86.24071247746745,0.0
2019-01-27 11:09:35.645810127+00:00,-77.66912389307313,-77.66912389307313,0.0
2019-01-27 11:09:40.145855904+00:00,-73.85017364930053,-73.85017364930053,0.0
2019-01-27 11:09:44.645891905+00:00,-109.43047452663272,-109.43047452663272,0.0
2019-01-27 11:09:49.145936966+00:00,-92.72266228033959,-92.72266228033959,0.0
2019-01-27 11:09:53.645974159+00:00,-103.42891499890935,-103.42891499890935,0.0
2019-01-27 11:09:58.146019936+00:00,-131.34177846628853,-131.34177846628853,0.0
2019-01-27 11:10:02.646056890+00:00,-144.74855441892151,-144.74855441892151,0.0
2019-01-27 11:10:07.146102905+00:00,-153.65610374188654,-153.65610374188654,0.0
2019-01-27 11:10:11.646137953+00:00,-194.71809541387523,-194.71809541387523,0.0
2019-01-27 11:10:16.146183968+00:00,-232.94631030125294,-232.94631030125294,0.0
2019-01-27 11:10:20.646221161+00:00,-224.70826770376124,-224.70826770376124,0.0
2019-01-27 11:10:25.146266937+00:00,-208.58712385494402,-208.58712385494402,0.0
2019-01-27 11:10:29.646304131+00:00,-200.8089673637735,-200.8089673637735,0.0
2019-01-27 11:10:34.146349907+00:00,-192.63053435541335,-192.63053435541335,0.0
