probe,dn_mae_km,dn_rmse_km,dn_corr
1,5141.391179587832,5415.803738480532,0.7010829762148238
2,6054.784306052813,6991.288167340279,0.15681897649778137
3,2114.1496343531926,2861.815641171568,-0.9120916991043774
4,1413.3924526062956,1640.9231652193412,0.938901143210831
