probe,source,mae_nT,rmse_nT,corr,n_exceed_0p5nT,N_angle_diff_deg
1,hybrid,395.2186262989036,1421.2179213544266,0.7979060341413559,80644,89.69116472265434
1,algorithmic,11.57814718360067,67.77156933902953,0.999811361687802,25795,5.558175175237876
2,hybrid,355.8056777778817,1249.658159482511,0.8630226935337525,81598,89.62087851521966
2,algorithmic,9.968447932977108,51.70917582136725,0.9998014980022971,41815,6.690806055769885
3,hybrid,273.37233299185215,919.1783738438909,0.9223130068423008,82954,89.56541916331177
3,algorithmic,13.851370546063453,70.18602285520377,0.9994685489631034,55042,12.131908454506341
4,hybrid,546.6972644790714,2228.0065875738574,-0.9283560384918085,83628,89.85485890934429
4,algorithmic,43.74026107344555,245.75723099131847,0.9972030502591649,69473,24.174291172187807
