probe,ang_N_sav_vs_N_mva_deg,ang_N_sav_vs_N_alg_deg,ang_N_sav_vs_N_timing_deg,ang_L_sav_vs_Bmean_tan_deg,ang_M_sav_vs_Bmean_tan_deg,ang_L_sav_vs_Vi_tan_deg,ang_M_sav_vs_Vi_tan_deg
1,89.69116472084171,5.558175175237876,15.451348278874177,4.575972156842544,85.4240278431574,17.966354359363613,72.03364564063635
2,89.62087851890708,6.690806055769885,18.858037013496695,16.77359987845485,73.22640012154514,23.5330799532417,66.46692004675829
3,89.56541918019131,12.131908454506341,25.592478647339803,23.71184058040133,66.28815941959867,4.8575446068515475,85.1424553931485
4,89.8548587324038,24.174291172187807,37.61053971052756,38.372896864259395,51.6271031357406,15.872638300848438,74.12736169915156
