probe,vn_mae_km_s,vn_rmse_km_s,vn_corr
1,21.667593997451867,29.954366373996315,
2,21.798560496141096,30.61885129631849,
3,26.580468274147435,36.52316742087943,3.130012963415312e-16
4,21.795673809449266,30.24920251372345,-2.620804176857028e-16
