segment,t0,t1,DN_km
1,2019-01-27 12:21:19+00:00,2019-01-27 12:43:21+00:00,-6281.911239426561
2,2019-01-27 12:30:00+00:00,2019-01-27 12:43:21+00:00,-3794.874705717855
