,DN_km
2019-01-27 12:15:02+00:00,
2019-01-27 12:15:03+00:00,
2019-01-27 12:15:04+00:00,
2019-01-27 12:15:05+00:00,
2019-01-27 12:15:06+00:00,
2019-01-27 12:15:07+00:00,
2019-01-27 12:15:08+00:00,
2019-01-27 12:15:09+00:00,
2019-01-27 12:15:10+00:00,
2019-01-27 12:15:11+00:00,
2019-01-27 12:15:12+00:00,
2019-01-27 12:15:13+00:00,
2019-01-27 12:15:14+00:00,
2019-01-27 12:15:15+00:00,
2019-01-27 12:15:16+00:00,
2019-01-27 12:15:17+00:00,
2019-01-27 12:15:18+00:00,
2019-01-27 12:15:19+00:00,
2019-01-27 12:15:20+00:00,
2019-01-27 12:15:21+00:00,
2019-01-27 12:15:22+00:00,
2019-01-27 12:15:23+00:00,
2019-01-27 12:15:24+00:00,
2019-01-27 12:15:25+00:00,
2019-01-27 12:15:26+00:00,
2019-01-27 12:15:27+00:00,
2019-01-27 12:15:28+00:00,
2019-01-27 12:15:29+00:00,
2019-01-27 12:15:30+00:00,
2019-01-27 12:15:31+00:00,
2019-01-27 12:15:32+00:00,
2019-01-27 12:15:33+00:00,
2019-01-27 12:15:34+00:00,
2019-01-27 12:15:35+00:00,
2019-01-27 12:15:36+00:00,
2019-01-27 12:15:37+00:00,
2019-01-27 12:15:38+00:00,
2019-01-27 12:15:39+00:00,
2019-01-27 12:15:40+00:00,
2019-01-27 12:15:41+00:00,
2019-01-27 12:15:42+00:00,
2019-01-27 12:15:43+00:00,
2019-01-27 12:15:44+00:00,
2019-01-27 12:15:45+00:00,
2019-01-27 12:15:46+00:00,
2019-01-27 12:15:47+00:00,
2019-01-27 12:15:48+00:00,
2019-01-27 12:15:49+00:00,
2019-01-27 12:15:50+00:00,
2019-01-27 12:15:51+00:00,
2019-01-27 12:15:52+00:00,
2019-01-27 12:15:53+00:00,
2019-01-27 12:15:54+00:00,
2019-01-27 12:15:55+00:00,
2019-01-27 12:15:56+00:00,
2019-01-27 12:15:57+00:00,
2019-01-27 12:15:58+00:00,
2019-01-27 12:15:59+00:00,
2019-01-27 12:16:00+00:00,
2019-01-27 12:16:01+00:00,
2019-01-27 12:16:02+00:00,
2019-01-27 12:16:03+00:00,
2019-01-27 12:16:04+00:00,
2019-01-27 12:16:05+00:00,
2019-01-27 12:16:06+00:00,
2019-01-27 12:16:07+00:00,
2019-01-27 12:16:08+00:00,
2019-01-27 12:16:09+00:00,
2019-01-27 12:16:10+00:00,
2019-01-27 12:16:11+00:00,
2019-01-27 12:16:12+00:00,
2019-01-27 12:16:13+00:00,
2019-01-27 12:16:14+00:00,
2019-01-27 12:16:15+00:00,
2019-01-27 12:16:16+00:00,
2019-01-27 12:16:17+00:00,
2019-01-27 12:16:18+00:00,
2019-01-27 12:16:19+00:00,
2019-01-27 12:16:20+00:00,
2019-01-27 12:16:21+00:00,
2019-01-27 12:16:22+00:00,
2019-01-27 12:16:23+00:00,
2019-01-27 12:16:24+00:00,
2019-01-27 12:16:25+00:00,
2019-01-27 12:16:26+00:00,
2019-01-27 12:16:27+00:00,
