time_utc,ViN_sav,ViN_mmsmp,dt_ms
2019-01-27 11:00:02.671245098+00:00,20.38722428686502,-4.764360807911228,601858801122.6514
2019-01-27 11:00:07.171325922+00:00,37.8474829208048,-4.764360807911228,601858805622.7323
2019-01-27 11:00:11.671390057+00:00,29.88925852306143,-4.764360807911228,601858810122.7964
2019-01-27 11:00:16.171471119+00:00,-0.5396449592760977,-4.764360807911228,601858814622.8774
2019-01-27 11:00:20.671535969+00:00,-13.476847863339165,-4.764360807911228,601858819122.9424
2019-01-27 11:00:25.171617031+00:00,-3.7568087211359913,-4.764360807911228,601858823623.0234
2019-01-27 11:00:29.671681881+00:00,9.241720680351072,-4.764360807911228,601858828123.0881
2019-01-27 11:00:34.171761990+00:00,-2.560999902776958,-4.764360807911228,601858832623.1682
2019-01-27 11:00:38.671815872+00:00,-20.54783637409607,-4.764360807911228,601858837123.2222
2019-01-27 11:00:43.171906948+00:00,-30.330554716957426,-4.764360807911228,601858841623.3134
2019-01-27 11:00:47.671971798+00:00,-1.064673164366722,-4.764360807911228,601858846123.378
2019-01-27 11:00:52.172051907+00:00,-8.246726328624627,-4.764360807911228,601858850623.4581
2019-01-27 11:00:56.672116995+00:00,-48.17351786882542,-4.764360807911228,601858855123.5233
2019-01-27 11:01:01.172198057+00:00,-37.305685116577315,-4.764360807911228,601858859623.6042
2019-01-27 11:01:05.672263145+00:00,-25.451688700884322,-4.764360807911228,601858864123.6696
2019-01-27 11:01:10.172344208+00:00,-51.271865701368796,-4.764360807911228,601858868623.7506
2019-01-27 11:01:14.672408104+00:00,-89.46437161905946,-4.764360807911228,601858873123.8143
2019-01-27 11:01:19.172488928+00:00,-131.45437487545317,-4.764360807911228,601858877623.8953
2019-01-27 11:01:23.672554016+00:00,-125.17507791319889,-4.764360807911228,601858882123.9603
2019-01-27 11:01:28.172635078+00:00,-112.52266128738151,-4.764360807911228,601858886624.0413
2019-01-27 11:01:32.672698021+00:00,-116.27474167300265,-4.764360807911228,601858891124.1042
2019-01-27 11:01:37.172779083+00:00,-66.49184258184738,-4.764360807911228,601858895624.1853
2019-01-27 11:01:41.672843933+00:00,-117.31955734515151,-4.764360807911228,601858900124.2502
2019-01-27 11:01:46.172924995+00:00,-116.14906442924362,-4.764360807911228,601858904624.3312
2019-01-27 11:01:50.672989845+00:00,-95.1840008120621,-4.764360807911228,601858909124.3962
2019-01-27 11:01:55.173069954+00:00,-67.10514821521124,-4.764360807911228,601858913624.4763
2019-01-27 11:01:59.673134804+00:00,-56.62959769164657,-4.764360807911228,601858918124.541
2019-01-27 11:02:04.173215866+00:00,-149.72948413693203,-4.764360807911228,601858922624.6222
2019-01-27 11:02:08.673280954+00:00,-160.26326310103406,-4.764360807911228,601858927124.6873
2019-01-27 11:02:13.173361063+00:00,-162.78762685128862,-4.764360807911228,601858931624.7673
2019-01-27 11:02:17.673427105+00:00,-123.23392954745472,-4.764360807911228,601858936124.8335
2019-01-27 11:02:22.173506021+00:00,-96.76792003635931,-4.764360807911228,601858940624.9124
2019-01-27 11:02:26.673570871+00:00,-48.16795542391287,-4.764360807911228,601858945124.977
2019-01-27 11:02:31.173651934+00:00,-46.83558351006272,-4.764360807911228,601858949625.0582
