segment,t0,t1,DN_km
1,2019-01-27 12:21:38+00:00,2019-01-27 12:27:04+00:00,-4975.558661864277
2,2019-01-27 12:27:04+00:00,2019-01-27 12:30:12+00:00,-982.0170769681565
3,2019-01-27 12:31:04+00:00,2019-01-27 12:31:21+00:00,259.28089803595344
4,2019-01-27 12:31:06+00:00,2019-01-27 12:43:00+00:00,-9587.54292956147
