segment,t0,t1,DN_km
1,2019-01-27 12:21:24+00:00,2019-01-27 12:30:28+00:00,-5386.720092783448
2,2019-01-27 12:25:16+00:00,2019-01-27 12:30:28+00:00,-2383.123969619621
3,2019-01-27 12:30:47+00:00,2019-01-27 12:30:56+00:00,57.03216088158086
4,2019-01-27 12:30:56+00:00,2019-01-27 12:43:16+00:00,-10192.782026535917
5,2019-01-27 12:42:00+00:00,2019-01-27 12:43:17+00:00,-1545.510227434577
